	imin	imax	jmin	jmax
Box_0	1614	1673	1748	1807
Box_1	1614	1673	1808	1867
Box_2	1614	1673	1868	1927
Box_3	1614	1673	1927	1987
Box_4	1614	1673	1987	2047
Box_5	1614	1674	2047	2107
Box_6	1614	1674	2107	2167
Box_7	1614	1674	2166	2227
Box_8	1614	1674	2226	2286
Box_9	1614	1674	2287	2346
Box_10	1674	1733	1748	1807
Box_11	1674	1733	1808	1867
Box_12	1674	1733	1868	1927
Box_13	1674	1733	1927	1987
Box_14	1674	1734	1987	2047
Box_15	1674	1734	2047	2107
Box_16	1674	1734	2107	2167
Box_17	1674	1734	2166	2227
Box_18	1674	1734	2226	2286
Box_19	1674	1734	2287	2346
Box_20	1734	1793	1748	1807
Box_21	1734	1793	1808	1867
Box_22	1734	1793	1868	1927
Box_23	1734	1793	1927	1987
Box_24	1734	1794	1987	2047
Box_25	1734	1794	2047	2107
Box_26	1734	1794	2107	2167
Box_27	1734	1794	2166	2227
Box_28	1734	1794	2226	2286
Box_29	1734	1794	2287	2346
Box_30	1794	1853	1748	1807
Box_31	1794	1853	1808	1867
Box_32	1794	1853	1868	1927
Box_33	1794	1853	1927	1987
Box_34	1794	1854	1987	2047
Box_35	1794	1854	2047	2107
Box_36	1794	1854	2107	2167
Box_37	1794	1854	2166	2227
Box_38	1794	1854	2226	2286
Box_39	1794	1854	2287	2346
Box_40	1854	1913	1748	1808
Box_41	1854	1913	1808	1867
Box_42	1854	1913	1868	1927
Box_43	1854	1913	1928	1987
Box_44	1854	1914	1987	2047
Box_45	1854	1914	2047	2107
Box_46	1854	1914	2107	2167
Box_47	1854	1914	2167	2227
Box_48	1854	1914	2226	2287
Box_49	1854	1914	2286	2346
Box_50	1914	1973	1748	1808
Box_51	1914	1973	1808	1867
Box_52	1914	1973	1868	1927
Box_53	1914	1973	1928	1987
Box_54	1914	1974	1987	2047
Box_55	1914	1974	2047	2107
Box_56	1914	1974	2107	2167
Box_57	1914	1974	2167	2227
Box_58	1914	1974	2226	2286
Box_59	1914	1974	2287	2347
Box_60	1974	2033	1748	1808
Box_61	1974	2033	1808	1868
Box_62	1974	2033	1868	1927
Box_63	1974	2033	1928	1987
Box_64	1974	2034	1987	2047
Box_65	1974	2034	2047	2107
Box_66	1974	2034	2107	2167
Box_67	1974	2034	2167	2226
Box_68	1974	2034	2227	2287
Box_69	1974	2034	2286	2346
Box_70	2034	2093	1748	1808
Box_71	2034	2093	1808	1868
Box_72	2034	2093	1868	1927
Box_73	2034	2093	1928	1987
Box_74	2034	2094	1987	2047
Box_75	2034	2094	2047	2107
Box_76	2034	2094	2107	2167
Box_77	2034	2094	2167	2226
Box_78	2034	2094	2227	2286
Box_79	2034	2094	2287	2347
Box_80	2094	2153	1748	1808
Box_81	2094	2153	1808	1868
Box_82	2094	2153	1868	1928
Box_83	2094	2153	1928	1987
Box_84	2094	2154	1988	2047
Box_85	2094	2154	2047	2107
Box_86	2094	2154	2107	2167
Box_87	2094	2154	2167	2227
Box_88	2094	2154	2227	2286
Box_89	2094	2154	2287	2346
Box_90	2154	2213	1748	1808
Box_91	2154	2213	1808	1868
Box_92	2154	2213	1868	1928
Box_93	2154	2213	1928	1987
Box_94	2154	2214	1988	2047
Box_95	2154	2214	2047	2107
Box_96	2154	2214	2107	2167
Box_97	2154	2214	2167	2227
Box_98	2154	2214	2227	2287
Box_99	2154	2214	2286	2347
Box_100	2214	2273	1748	1808
Box_101	2214	2273	1808	1868
Box_102	2214	2273	1868	1928
Box_103	2214	2273	1928	1988
Box_104	2214	2273	1988	2047
Box_105	2214	2274	2047	2107
Box_106	2214	2274	2107	2167
Box_107	2214	2274	2167	2227
Box_108	2214	2274	2227	2287
Box_109	2214	2274	2286	2347
