	imin	imax	jmin	jmax
Box_0	2698	2759	3601	3664
Box_1	2698	2762	3663	3726
Box_2	2700	2758	3724	3782
Box_3	2696	2756	3783	3839
Box_4	2698	2762	3844	3904
Box_5	2701	2761	3899	3965
Box_6	2696	2762	3961	4022
Box_7	2701	2760	4017	4074
Box_8	2704	2756	4088	4139
Box_9	2700	2757	4136	4200
Box_10	2707	2759	4206	4254
Box_11	2756	2815	3607	3663
Box_12	2761	2814	3668	3726
Box_13	2763	2822	3720	3781
Box_14	2757	2822	3785	3842
Box_15	2765	2814	3848	3904
Box_16	2756	2821	3900	3958
Box_17	2763	2817	3965	4021
Box_18	2767	2816	4022	4078
Box_19	2764	2819	4085	4136
Box_20	2767	2818	4140	4201
Box_21	2763	2820	4208	4260
Box_22	2817	2881	3605	3660
Box_23	2823	2876	3664	3726
Box_24	2816	2880	3725	3783
Box_25	2823	2875	3788	3841
Box_26	2822	2878	3842	3898
Box_27	2823	2881	3906	3965
Box_28	2826	2876	3967	4018
Box_29	2817	2883	4027	4084
Box_30	2818	2880	4085	4142
Box_31	2823	2884	4141	4205
Box_32	2818	2877	4199	4264
Box_33	2876	2940	3608	3663
Box_34	2877	2940	3666	3720
Box_35	2883	2942	3721	3787
Box_36	2879	2936	3783	3844
Box_37	2879	2939	3847	3903
Box_38	2884	2935	3904	3964
Box_39	2878	2937	3963	4019
Box_40	2879	2935	4021	4076
Box_41	2887	2937	4082	4138
Box_42	2880	2939	4139	4199
Box_43	2879	2941	4198	4258
Box_44	2939	2994	3606	3666
Box_45	2938	2996	3665	3720
Box_46	2936	2997	3725	3785
Box_47	2939	3000	3783	3847
Box_48	2944	3001	3841	3903
Box_49	2941	2994	3907	3959
Box_50	2945	3001	3960	4025
Box_51	2946	2996	4020	4086
Box_52	2938	3002	4080	4144
Box_53	2945	3001	4145	4203
Box_54	2938	3005	4209	4261
Box_55	2995	3054	3608	3663
Box_56	2995	3061	3664	3728
Box_57	2998	3057	3722	3784
Box_58	3003	3055	3785	3846
Box_59	3004	3060	3845	3907
Box_60	2999	3061	3902	3966
Box_61	3000	3054	3967	4023
Box_62	3006	3058	4028	4085
Box_63	2999	3061	4081	4146
Box_64	2996	3061	4144	4200
Box_65	3001	3063	4205	4262
