	i	j	lat	lon	lat_eORCA1	lon_eORCA1
Box_0	235	267	55.880455017089844	-55.405189514160156	55.47551727294922	-53.33253860473633
Box_1	236	267	56.448734283447266	-55.55957794189453	55.557167053222656	-52.29096603393555
Box_2	237	267	57.01078796386719	-55.72309875488281	55.63654327392578	-51.24592590332031
Box_3	238	267	57.566715240478516	-55.89615249633789	55.71353530883789	-50.19745635986328
Box_4	239	267	58.11660385131836	-56.079166412353516	55.788028717041016	-49.145591735839844
Box_5	240	267	58.66054153442383	-56.272586822509766	55.85992431640625	-48.090389251708984
Box_6	241	267	59.19861602783203	-56.47687911987305	55.92911148071289	-47.03189468383789
Box_7	242	267	59.730899810791016	-56.69253921508789	55.9954948425293	-45.97018051147461
Box_8	243	267	60.25746536254883	-56.92008590698242	56.05896759033203	-44.905311584472656
Box_9	244	267	60.778377532958984	-57.160064697265625	56.119441986083984	-43.83737564086914
Box_10	234	268	55.39170837402344	-54.227294921875	55.96998977661133	-54.5225944519043
Box_11	235	268	55.96998977661133	-54.37062072753906	56.057403564453125	-53.481815338134766
Box_12	236	268	56.54199981689453	-54.5225944519043	56.142574310302734	-52.437252044677734
Box_13	237	268	57.10784149169922	-54.68361282348633	56.22538757324219	-51.38893127441406
Box_14	238	268	57.66761016845703	-54.85407257080078	56.305728912353516	-50.33689498901367
Box_15	239	268	58.22140121459961	-55.03440475463867	56.383480072021484	-49.28118133544922
Box_16	240	268	58.76929473876953	-55.22505569458008	56.458534240722656	-48.221839904785156
Box_17	241	268	59.31138229370117	-55.4265022277832	56.53078079223633	-47.158935546875
Box_18	242	268	59.847740173339844	-55.63923263549805	56.60011291503906	-46.092533111572266
Box_19	243	268	60.37843704223633	-55.86377716064453	56.66643142700195	-45.02271270751953
Box_20	244	268	60.90354537963867	-56.100685119628906	56.729637145996094	-43.949554443359375
Box_21	234	269	55.47551727294922	-53.19180679321289	56.54199981689453	-54.68361282348633
Box_22	235	269	56.057403564453125	-53.33253860473633	56.63307189941406	-53.640018463134766
Box_23	236	269	56.63307189941406	-53.481815338134766	56.721824645996094	-52.59233856201172
Box_24	237	269	57.20262908935547	-53.640018463134766	56.80813217163086	-51.54059600830078
Box_25	238	269	57.76616668701172	-53.807559967041016	56.89188003540039	-50.484825134277344
Box_26	239	269	58.32378387451172	-53.984867095947266	56.97294235229492	-49.425079345703125
Box_27	240	269	58.87556457519531	-54.172386169433594	57.051212310791016	-48.36140441894531
Box_28	241	269	59.42159652709961	-54.37059020996094	57.1265754699707	-47.29387283325195
Box_29	242	269	59.96195983886719	-54.579986572265625	57.19892120361328	-46.2225456237793
Box_30	243	269	60.49672317504883	-54.80109786987305	57.26813888549805	-45.14751434326172
Box_31	244	269	61.025962829589844	-55.03448486328125	57.334129333496094	-44.06886672973633
Box_32	234	270	55.557167053222656	-52.15309524536133	57.10784149169922	-54.85407257080078
Box_33	235	270	56.142574310302734	-52.29096603393555	57.20262908935547	-53.807559967041016
Box_34	236	270	56.721824645996094	-52.437252044677734	57.295013427734375	-52.75663375854492
Box_35	237	270	57.295013427734375	-52.59233856201172	57.3848762512207	-51.70132064819336
Box_36	238	270	57.862247467041016	-52.75663375854492	57.472084045410156	-50.64165496826172
Box_37	239	270	58.42361068725586	-52.930564880371094	57.556522369384766	-49.57769012451172
Box_38	240	270	58.97920227050781	-53.114585876464844	57.63806915283203	-48.50947952270508
Box_39	241	270	59.52910614013672	-53.309165954589844	57.71660614013672	-47.43709182739258
Box_40	242	270	60.073402404785156	-53.51481628417969	57.79201889038086	-46.36060333251953
Box_41	243	270	60.61216735839844	-53.73206329345703	57.86419677734375	-45.28010177612305
Box_42	244	270	61.14546585083008	-53.96146774291992	57.93303298950195	-44.195682525634766
Box_43	234	271	55.63654327392578	-51.1111946105957	57.66761016845703	-55.03440475463867
Box_44	235	271	56.22538757324219	-51.24592590332031	57.76616668701172	-53.984867095947266
Box_45	236	271	56.80813217163086	-51.38893127441406	57.862247467041016	-52.930564880371094
Box_46	237	271	57.3848762512207	-51.54059600830078	57.95571517944336	-51.87153244018555
Box_47	238	271	57.95571517944336	-51.70132064819336	58.046451568603516	-50.80780792236328
Box_48	239	271	58.520751953125	-51.87153244018555	58.13431930541992	-49.739437103271484
Box_49	240	271	59.080074310302734	-52.05168914794922	58.219200134277344	-48.666481018066406
Box_50	241	271	59.63376998901367	-52.24225997924805	58.30097198486328	-47.589012145996094
Box_51	242	271	60.181922912597656	-52.443748474121094	58.3795166015625	-46.50711441040039
Box_52	243	271	60.724605560302734	-52.65669631958008	58.454715728759766	-45.42087173461914
Box_53	244	271	61.261898040771484	-52.88166046142578	58.526458740234375	-44.33039474487305
Box_54	234	272	55.71353530883789	-50.06612777709961	58.22140121459961	-55.22505569458008
Box_55	235	272	56.305728912353516	-50.19745635986328	58.32378387451172	-54.172386169433594
Box_56	236	272	56.89188003540039	-50.33689498901367	58.42361068725586	-53.114585876464844
Box_57	237	272	57.472084045410156	-50.484825134277344	58.520751953125	-52.05168914794922
Box_58	238	272	58.046451568603516	-50.64165496826172	58.61507034301758	-50.98373031616211
Box_59	239	272	58.61507034301758	-50.80780792236328	58.7064323425293	-49.9107666015625
Box_60	240	272	59.178035736083984	-50.98373031616211	58.79471206665039	-48.832855224609375
Box_61	241	272	59.73543930053711	-51.16990280151367	58.87977981567383	-47.75007629394531
Box_62	242	272	60.2873649597168	-51.36682891845703	58.96151351928711	-46.66250991821289
Box_63	243	272	60.833892822265625	-51.57503890991211	59.039798736572266	-45.570255279541016
Box_64	244	272	61.375091552734375	-51.795101165771484	59.11450958251953	-44.47342300415039
Box_65	234	273	55.788028717041016	-49.01793670654297	58.76929473876953	-55.4265022277832
