	i	j	lat	lon	lat_eORCA1	lon_eORCA1
Box_0	234	267	54.724822998046875	-55.25954818725586	54.724822998046875	-55.25954818725586
Box_1	235	267	54.80705261230469	-54.227294921875	54.80705261230469	-54.227294921875
Box_2	236	267	54.8873176574707	-53.19180679321289	54.8873176574707	-53.19180679321289
Box_3	237	267	54.96549987792969	-52.15309524536133	54.96549987792969	-52.15309524536133
Box_4	238	267	55.04149627685547	-51.1111946105957	55.04149627685547	-51.1111946105957
Box_5	239	267	55.11519241333008	-50.06612777709961	55.11519241333008	-50.06612777709961
Box_6	240	267	55.18648910522461	-49.01793670654297	55.18648910522461	-49.01793670654297
Box_7	241	267	55.255279541015625	-47.966670989990234	55.255279541015625	-47.966670989990234
Box_8	234	268	55.305850982666016	-55.405189514160156	55.305850982666016	-55.405189514160156
Box_9	235	268	55.39170837402344	-54.37062072753906	55.39170837402344	-54.37062072753906
Box_10	236	268	55.47551727294922	-53.33253860473633	55.47551727294922	-53.33253860473633
Box_11	237	268	55.557167053222656	-52.29096603393555	55.557167053222656	-52.29096603393555
Box_12	238	268	55.63654327392578	-51.24592590332031	55.63654327392578	-51.24592590332031
Box_13	239	268	55.71353530883789	-50.19745635986328	55.71353530883789	-50.19745635986328
Box_14	240	268	55.788028717041016	-49.145591735839844	55.788028717041016	-49.145591735839844
Box_15	241	268	55.85992431640625	-48.090389251708984	55.85992431640625	-48.090389251708984
Box_16	234	269	55.880455017089844	-55.55957794189453	55.880455017089844	-55.55957794189453
Box_17	235	269	55.96998977661133	-54.5225944519043	55.96998977661133	-54.5225944519043
Box_18	236	269	56.057403564453125	-53.481815338134766	56.057403564453125	-53.481815338134766
Box_19	237	269	56.142574310302734	-52.437252044677734	56.142574310302734	-52.437252044677734
Box_20	238	269	56.22538757324219	-51.38893127441406	56.22538757324219	-51.38893127441406
Box_21	239	269	56.305728912353516	-50.33689498901367	56.305728912353516	-50.33689498901367
Box_22	240	269	56.383480072021484	-49.28118133544922	56.383480072021484	-49.28118133544922
Box_23	241	269	56.458534240722656	-48.221839904785156	56.458534240722656	-48.221839904785156
Box_24	234	270	56.448734283447266	-55.72309875488281	56.448734283447266	-55.72309875488281
Box_25	235	270	56.54199981689453	-54.68361282348633	56.54199981689453	-54.68361282348633
Box_26	236	270	56.63307189941406	-53.640018463134766	56.63307189941406	-53.640018463134766
Box_27	237	270	56.721824645996094	-52.59233856201172	56.721824645996094	-52.59233856201172
Box_28	238	270	56.80813217163086	-51.54059600830078	56.80813217163086	-51.54059600830078
Box_29	239	270	56.89188003540039	-50.484825134277344	56.89188003540039	-50.484825134277344
Box_30	240	270	56.97294235229492	-49.425079345703125	56.97294235229492	-49.425079345703125
Box_31	241	270	57.051212310791016	-48.36140441894531	57.051212310791016	-48.36140441894531
Box_32	234	271	57.01078796386719	-55.89615249633789	57.01078796386719	-55.89615249633789
Box_33	235	271	57.10784149169922	-54.85407257080078	57.10784149169922	-54.85407257080078
Box_34	236	271	57.20262908935547	-53.807559967041016	57.20262908935547	-53.807559967041016
Box_35	237	271	57.295013427734375	-52.75663375854492	57.295013427734375	-52.75663375854492
Box_36	238	271	57.3848762512207	-51.70132064819336	57.3848762512207	-51.70132064819336
Box_37	239	271	57.472084045410156	-50.64165496826172	57.472084045410156	-50.64165496826172
Box_38	240	271	57.556522369384766	-49.57769012451172	57.556522369384766	-49.57769012451172
Box_39	241	271	57.63806915283203	-48.50947952270508	57.63806915283203	-48.50947952270508
Box_40	234	272	57.566715240478516	-56.079166412353516	57.566715240478516	-56.079166412353516
Box_41	235	272	57.66761016845703	-55.03440475463867	57.66761016845703	-55.03440475463867
Box_42	236	272	57.76616668701172	-53.984867095947266	57.76616668701172	-53.984867095947266
Box_43	237	272	57.862247467041016	-52.930564880371094	57.862247467041016	-52.930564880371094
Box_44	238	272	57.95571517944336	-51.87153244018555	57.95571517944336	-51.87153244018555
Box_45	239	272	58.046451568603516	-50.80780792236328	58.046451568603516	-50.80780792236328
Box_46	240	272	58.13431930541992	-49.739437103271484	58.13431930541992	-49.739437103271484
Box_47	241	272	58.219200134277344	-48.666481018066406	58.219200134277344	-48.666481018066406
Box_48	234	273	58.11660385131836	-56.272586822509766	58.11660385131836	-56.272586822509766
Box_49	235	273	58.22140121459961	-55.22505569458008	58.22140121459961	-55.22505569458008
Box_50	236	273	58.32378387451172	-54.172386169433594	58.32378387451172	-54.172386169433594
Box_51	237	273	58.42361068725586	-53.114585876464844	58.42361068725586	-53.114585876464844
Box_52	238	273	58.520751953125	-52.05168914794922	58.520751953125	-52.05168914794922
Box_53	239	273	58.61507034301758	-50.98373031616211	58.61507034301758	-50.98373031616211
Box_54	240	273	58.7064323425293	-49.9107666015625	58.7064323425293	-49.9107666015625
Box_55	241	273	58.79471206665039	-48.832855224609375	58.79471206665039	-48.832855224609375
Box_56	234	274	58.66054153442383	-56.47687911987305	58.66054153442383	-56.47687911987305
Box_57	235	274	58.76929473876953	-55.4265022277832	58.76929473876953	-55.4265022277832
Box_58	236	274	58.87556457519531	-54.37059020996094	58.87556457519531	-54.37059020996094
Box_59	237	274	58.97920227050781	-53.309165954589844	58.97920227050781	-53.309165954589844
Box_60	238	274	59.080074310302734	-52.24225997924805	59.080074310302734	-52.24225997924805
Box_61	239	274	59.178035736083984	-51.16990280151367	59.178035736083984	-51.16990280151367
Box_62	240	274	59.272953033447266	-50.09215545654297	59.272953033447266	-50.09215545654297
Box_63	241	274	59.36469268798828	-49.00907516479492	59.36469268798828	-49.00907516479492
Box_64	234	275	59.19861602783203	-56.69253921508789	59.19861602783203	-56.69253921508789
Box_65	235	275	59.31138229370117	-55.63923263549805	59.31138229370117	-55.63923263549805
Box_66	236	275	59.42159652709961	-54.579986572265625	59.42159652709961	-54.579986572265625
Box_67	237	275	59.52910614013672	-53.51481628417969	59.52910614013672	-53.51481628417969
Box_68	238	275	59.63376998901367	-52.443748474121094	59.63376998901367	-52.443748474121094
Box_69	239	275	59.73543930053711	-51.36682891845703	59.73543930053711	-51.36682891845703
Box_70	240	275	59.83397674560547	-50.28409957885742	59.83397674560547	-50.28409957885742
Box_71	241	275	59.92924118041992	-49.19563674926758	59.92924118041992	-49.19563674926758
Box_72	234	276	59.730899810791016	-56.92008590698242	59.730899810791016	-56.92008590698242
Box_73	235	276	59.847740173339844	-55.86377716064453	59.847740173339844	-55.86377716064453
Box_74	236	276	59.96195983886719	-54.80109786987305	59.96195983886719	-54.80109786987305
Box_75	237	276	60.073402404785156	-53.73206329345703	60.073402404785156	-53.73206329345703
Box_76	238	276	60.181922912597656	-52.65669631958008	60.181922912597656	-52.65669631958008
Box_77	239	276	60.2873649597168	-51.57503890991211	60.2873649597168	-51.57503890991211
Box_78	240	276	60.38958740234375	-50.48714065551758	60.38958740234375	-50.48714065551758
Box_79	241	276	60.48844528198242	-49.39307403564453	60.48844528198242	-49.39307403564453
Box_80	234	277	60.25746536254883	-57.160064697265625	60.25746536254883	-57.160064697265625
Box_81	235	277	60.37843704223633	-56.100685119628906	60.37843704223633	-56.100685119628906
Box_82	236	277	60.49672317504883	-55.03448486328125	60.49672317504883	-55.03448486328125
Box_83	237	277	60.61216735839844	-53.96146774291992	60.61216735839844	-53.96146774291992
Box_84	238	277	60.724605560302734	-52.88166046142578	60.724605560302734	-52.88166046142578
Box_85	239	277	60.833892822265625	-51.795101165771484	60.833892822265625	-51.795101165771484
Box_86	240	277	60.93986892700195	-50.701839447021484	60.93986892700195	-50.701839447021484
Box_87	241	277	61.042388916015625	-49.601951599121094	61.042388916015625	-49.601951599121094
Box_88	234	278	60.778377532958984	-57.41305160522461	60.778377532958984	-57.41305160522461
Box_89	235	278	60.90354537963867	-56.35054397583008	60.90354537963867	-56.35054397583008
Box_90	236	278	61.025962829589844	-55.28073501586914	61.025962829589844	-55.28073501586914
Box_91	237	278	61.14546585083008	-54.20362854003906	61.14546585083008	-54.20362854003906
Box_92	238	278	61.261898040771484	-53.119239807128906	61.261898040771484	-53.119239807128906
Box_93	239	278	61.375091552734375	-52.02761459350586	61.375091552734375	-52.02761459350586
Box_94	240	278	61.48489761352539	-50.92879867553711	61.48489761352539	-50.92879867553711
Box_95	241	278	61.59115219116211	-49.8228645324707	61.59115219116211	-49.8228645324707
Box_96	234	279	61.2936897277832	-57.67965316772461	61.2936897277832	-57.67965316772461
Box_97	235	279	61.42311477661133	-56.61396789550781	61.42311477661133	-56.61396789550781
Box_98	236	279	61.54973220825195	-55.54047393798828	61.54973220825195	-55.54047393798828
Box_99	237	279	61.67336654663086	-54.45916748046875	61.67336654663086	-54.45916748046875
Box_100	238	279	61.79385757446289	-53.37007141113281	61.79385757446289	-53.37007141113281
Box_101	239	279	61.911033630371094	-52.273216247558594	61.911033630371094	-52.273216247558594
Box_102	240	279	62.02473831176758	-51.16865158081055	62.02473831176758	-51.16865158081055
Box_103	241	279	62.134803771972656	-50.056453704833984	62.134803771972656	-50.056453704833984
