	imin	imax	jmin	jmax
Box_0	3474	3534	2349	2409
Box_1	3474	3534	2409	2469
Box_2	3474	3534	2469	2529
Box_3	3474	3534	2529	2588
Box_4	3474	3534	2588	2649
Box_5	3474	3534	2648	2709
Box_6	3474	3534	2708	2768
Box_7	3474	3535	2769	2829
Box_8	3475	3534	2828	2888
Box_9	3475	3535	2889	2949
Box_10	3475	3534	2948	3008
Box_11	3474	3536	3009	3068
Box_12	3475	3536	3069	3129
Box_13	3475	3534	3128	3187
Box_14	3474	3535	3189	3248
Box_15	3475	3534	3249	3307
Box_16	3477	3535	3310	3368
Box_17	3477	3535	3367	3430
Box_18	3478	3535	3428	3487
Box_19	3478	3536	3489	3548
Box_20	3534	3594	2349	2409
Box_21	3534	3594	2409	2469
Box_22	3534	3594	2469	2529
Box_23	3534	3594	2529	2589
Box_24	3534	3594	2589	2649
Box_25	3534	3594	2649	2709
Box_26	3535	3594	2708	2768
Box_27	3534	3595	2769	2828
Box_28	3535	3594	2829	2889
Box_29	3534	3595	2888	2948
Box_30	3535	3594	2949	3008
Box_31	3535	3594	3009	3068
Box_32	3535	3596	3068	3128
Box_33	3536	3595	3129	3188
Box_34	3536	3595	3189	3250
Box_35	3536	3595	3249	3307
Box_36	3537	3594	3310	3368
Box_37	3537	3596	3370	3430
Box_38	3537	3596	3427	3488
Box_39	3538	3596	3490	3548
Box_40	3594	3653	2349	2409
Box_41	3594	3654	2409	2469
Box_42	3594	3654	2469	2529
Box_43	3594	3654	2529	2589
Box_44	3594	3654	2589	2649
Box_45	3594	3654	2649	2709
Box_46	3594	3654	2709	2769
Box_47	3594	3654	2769	2829
Box_48	3595	3654	2829	2888
Box_49	3594	3654	2889	2948
Box_50	3595	3654	2948	3009
Box_51	3595	3655	3008	3068
Box_52	3594	3655	3069	3129
Box_53	3594	3655	3128	3190
Box_54	3596	3656	3189	3249
Box_55	3596	3656	3248	3309
Box_56	3597	3656	3308	3368
Box_57	3597	3654	3369	3430
Box_58	3597	3657	3428	3488
Box_59	3598	3655	3490	3550
Box_60	3654	3713	2349	2409
Box_61	3654	3713	2409	2469
Box_62	3654	3714	2469	2529
Box_63	3654	3714	2529	2589
Box_64	3654	3714	2589	2649
Box_65	3654	3714	2649	2709
Box_66	3654	3714	2709	2769
Box_67	3654	3714	2769	2829
Box_68	3654	3714	2829	2889
Box_69	3655	3714	2889	2949
Box_70	3655	3715	2949	3009
Box_71	3654	3715	3009	3069
Box_72	3654	3714	3070	3130
Box_73	3654	3714	3129	3188
Box_74	3655	3715	3190	3248
Box_75	3655	3715	3250	3310
Box_76	3654	3715	3308	3370
Box_77	3656	3715	3369	3428
Box_78	3655	3714	3430	3489
Box_79	3656	3715	3488	3549
Box_80	3714	3773	2349	2409
Box_81	3714	3773	2409	2469
Box_82	3714	3773	2469	2529
Box_83	3714	3774	2529	2589
Box_84	3714	3774	2589	2649
Box_85	3714	3774	2649	2709
Box_86	3714	3774	2709	2769
Box_87	3714	3774	2769	2829
Box_88	3714	3774	2829	2889
Box_89	3715	3774	2889	2950
Box_90	3714	3774	2949	3010
Box_91	3714	3775	3009	3069
Box_92	3715	3775	3069	3130
Box_93	3715	3775	3129	3189
Box_94	3714	3774	3190	3249
Box_95	3714	3775	3249	3310
Box_96	3716	3774	3309	3369
Box_97	3716	3776	3370	3430
Box_98	3715	3774	3429	3491
Box_99	3717	3775	3489	3551
Box_100	3774	3833	2349	2409
Box_101	3774	3833	2409	2469
Box_102	3774	3833	2469	2529
Box_103	3774	3833	2529	2589
Box_104	3774	3834	2589	2649
Box_105	3774	3834	2649	2709
Box_106	3774	3834	2709	2769
Box_107	3774	3834	2769	2829
Box_108	3774	3834	2829	2890
Box_109	3774	3834	2889	2949
Box_110	3775	3834	2950	3009
Box_111	3774	3834	3010	3069
Box_112	3774	3835	3069	3130
Box_113	3774	3834	3129	3190
Box_114	3775	3834	3189	3249
Box_115	3776	3834	3249	3310
Box_116	3776	3834	3309	3370
Box_117	3775	3834	3369	3429
Box_118	3775	3835	3430	3490
Box_119	3774	3835	3489	3551
Box_120	3834	3893	2350	2409
Box_121	3834	3893	2410	2469
Box_122	3834	3893	2470	2529
Box_123	3834	3893	2530	2589
Box_124	3834	3893	2590	2649
Box_125	3834	3893	2650	2709
Box_126	3834	3894	2710	2769
Box_127	3834	3894	2770	2830
Box_128	3834	3894	2830	2890
Box_129	3834	3894	2890	2950
Box_130	3834	3894	2950	3010
Box_131	3834	3894	3010	3070
Box_132	3834	3894	3070	3130
Box_133	3835	3894	3130	3190
Box_134	3835	3895	3190	3250
Box_135	3835	3894	3250	3311
Box_136	3835	3895	3310	3370
Box_137	3835	3894	3371	3430
Box_138	3836	3894	3431	3490
Box_139	3836	3895	3491	3551
Box_140	3894	3953	2350	2409
Box_141	3894	3953	2410	2469
Box_142	3894	3953	2470	2529
Box_143	3894	3953	2530	2589
Box_144	3894	3953	2590	2649
Box_145	3894	3953	2650	2709
Box_146	3894	3953	2710	2770
Box_147	3894	3953	2770	2830
Box_148	3894	3954	2830	2890
Box_149	3894	3954	2890	2950
Box_150	3894	3954	2950	3010
Box_151	3894	3954	3010	3070
Box_152	3894	3954	3070	3130
Box_153	3895	3954	3130	3190
Box_154	3894	3954	3190	3250
Box_155	3895	3954	3251	3311
Box_156	3894	3954	3310	3370
Box_157	3895	3954	3371	3430
Box_158	3895	3954	3431	3490
Box_159	3896	3955	3490	3550
Box_160	3954	4013	2350	2409
Box_161	3954	4013	2410	2469
Box_162	3954	4013	2470	2529
Box_163	3954	4013	2530	2589
Box_164	3954	4013	2590	2649
Box_165	3954	4013	2650	2710
Box_166	3954	4013	2710	2770
Box_167	3954	4013	2770	2830
Box_168	3954	4013	2830	2890
Box_169	3954	4013	2890	2950
Box_170	3954	4014	2950	3010
Box_171	3954	4014	3010	3070
Box_172	3954	4014	3070	3130
Box_173	3954	4014	3130	3190
Box_174	3954	4014	3191	3251
Box_175	3954	4014	3251	3311
Box_176	3955	4014	3311	3371
Box_177	3955	4014	3371	3431
Box_178	3955	4014	3431	3491
Box_179	3954	4015	3491	3552
Box_180	4014	4073	2350	2409
Box_181	4014	4073	2410	2469
Box_182	4014	4073	2470	2529
Box_183	4014	4073	2530	2589
Box_184	4014	4073	2590	2650
Box_185	4014	4073	2650	2710
Box_186	4014	4073	2710	2770
Box_187	4014	4073	2770	2830
Box_188	4014	4073	2830	2890
Box_189	4014	4073	2890	2950
Box_190	4014	4073	2951	3010
Box_191	4014	4073	3011	3070
Box_192	4014	4073	3071	3131
Box_193	4014	4074	3131	3191
Box_194	4014	4074	3191	3251
Box_195	4014	4074	3251	3311
Box_196	4014	4074	3311	3371
Box_197	4014	4074	3371	3431
Box_198	4015	4074	3431	3492
Box_199	4014	4074	3491	3552
Box_200	4074	4133	2350	2409
Box_201	4074	4133	2410	2469
Box_202	4074	4133	2470	2529
Box_203	4074	4133	2530	2590
Box_204	4074	4133	2590	2650
Box_205	4074	4133	2650	2710
Box_206	4074	4133	2710	2770
Box_207	4074	4133	2771	2830
Box_208	4074	4133	2831	2890
Box_209	4074	4133	2891	2950
Box_210	4074	4133	2951	3010
Box_211	4074	4133	3011	3071
Box_212	4074	4133	3071	3131
Box_213	4074	4133	3131	3191
Box_214	4074	4133	3191	3251
Box_215	4074	4133	3251	3311
Box_216	4074	4134	3311	3371
Box_217	4074	4134	3372	3432
Box_218	4074	4134	3432	3492
Box_219	4074	4134	3492	3552
Box_220	4134	4193	2350	2409
Box_221	4134	4193	2410	2469
Box_222	4134	4193	2470	2530
Box_223	4134	4193	2530	2590
Box_224	4134	4193	2591	2650
Box_225	4134	4193	2651	2710
Box_226	4134	4193	2711	2770
Box_227	4134	4193	2771	2830
Box_228	4134	4193	2831	2890
Box_229	4134	4193	2891	2950
Box_230	4134	4193	2951	3010
Box_231	4134	4193	3011	3071
Box_232	4134	4193	3071	3131
Box_233	4134	4193	3131	3191
Box_234	4134	4193	3192	3251
Box_235	4134	4193	3252	3311
Box_236	4134	4193	3312	3372
Box_237	4134	4193	3372	3432
Box_238	4134	4193	3432	3492
Box_239	4134	4193	3492	3552
Box_240	4194	4253	2350	2409
Box_241	4194	4253	2410	2470
Box_242	4194	4253	2470	2530
Box_243	4194	4253	2531	2590
Box_244	4194	4253	2591	2650
Box_245	4194	4253	2651	2710
Box_246	4194	4253	2711	2770
Box_247	4194	4253	2771	2830
Box_248	4194	4253	2831	2890
Box_249	4194	4253	2891	2950
Box_250	4194	4253	2951	3011
Box_251	4194	4253	3012	3071
Box_252	4194	4253	3072	3131
Box_253	4194	4253	3132	3191
Box_254	4194	4253	3192	3251
Box_255	4194	4253	3252	3311
Box_256	4194	4253	3312	3372
Box_257	4194	4253	3373	3432
Box_258	4194	4253	3433	3492
Box_259	4194	4253	3493	3552
Box_260	4253	4313	2350	2410
Box_261	4253	4313	2410	2470
Box_262	4253	4313	2471	2530
Box_263	4253	4313	2531	2590
Box_264	4253	4313	2591	2650
Box_265	4253	4313	2651	2710
Box_266	4253	4313	2711	2770
Box_267	4253	4313	2771	2830
Box_268	4253	4313	2831	2891
Box_269	4254	4313	2891	2951
Box_270	4254	4313	2952	3011
Box_271	4254	4313	3012	3071
Box_272	4254	4313	3072	3131
Box_273	4254	4313	3132	3191
Box_274	4254	4313	3192	3252
Box_275	4254	4313	3252	3312
Box_276	4254	4313	3313	3372
Box_277	4254	4313	3373	3432
Box_278	4254	4313	3433	3492
Box_279	4254	4313	3493	3553
Box_280	4313	4372	2350	2410
Box_281	4313	4372	2410	2470
Box_282	4313	4372	2471	2530
Box_283	4313	4372	2531	2590
Box_284	4313	4372	2591	2650
Box_285	4313	4372	2651	2710
Box_286	4313	4372	2711	2770
Box_287	4313	4372	2771	2831
Box_288	4313	4372	2831	2891
Box_289	4313	4372	2891	2951
Box_290	4313	4372	2952	3011
Box_291	4313	4372	3012	3071
Box_292	4313	4373	3072	3132
Box_293	4313	4372	3132	3192
Box_294	4313	4373	3192	3252
Box_295	4313	4373	3253	3312
Box_296	4313	4373	3313	3372
Box_297	4313	4373	3373	3433
Box_298	4313	4373	3433	3493
Box_299	4313	4373	3493	3553
Box_300	4373	4432	2350	2410
Box_301	4373	4432	2410	2470
Box_302	4373	4432	2471	2530
Box_303	4373	4432	2531	2590
Box_304	4373	4432	2591	2650
Box_305	4373	4432	2651	2711
Box_306	4373	4432	2711	2771
Box_307	4373	4432	2771	2831
Box_308	4373	4432	2831	2891
Box_309	4373	4432	2892	2951
Box_310	4373	4432	2952	3011
Box_311	4373	4432	3012	3072
Box_312	4373	4432	3072	3132
Box_313	4373	4432	3132	3192
Box_314	4373	4432	3192	3252
Box_315	4373	4432	3253	3313
Box_316	4373	4432	3313	3373
Box_317	4373	4432	3373	3433
Box_318	4373	4432	3433	3493
Box_319	4373	4432	3494	3554
Box_320	4433	4492	2350	2410
Box_321	4433	4492	2411	2470
Box_322	4433	4492	2471	2530
Box_323	4433	4492	2531	2590
Box_324	4433	4492	2591	2651
Box_325	4433	4492	2651	2711
Box_326	4433	4492	2711	2771
Box_327	4433	4492	2771	2831
Box_328	4433	4492	2831	2891
Box_329	4433	4492	2892	2952
Box_330	4433	4492	2952	3012
Box_331	4433	4492	3012	3072
Box_332	4433	4492	3072	3132
Box_333	4433	4492	3132	3192
Box_334	4433	4492	3193	3253
Box_335	4433	4492	3253	3313
Box_336	4433	4492	3313	3373
Box_337	4432	4492	3373	3434
Box_338	4432	4492	3434	3494
Box_339	4432	4492	3494	3554
Box_340	4493	4552	2350	2410
Box_341	4493	4552	2411	2470
Box_342	4493	4552	2471	2530
Box_343	4493	4552	2531	2591
Box_344	4493	4552	2591	2651
Box_345	4493	4552	2651	2711
Box_346	4493	4552	2711	2771
Box_347	4493	4552	2771	2831
Box_348	4493	4552	2832	2892
Box_349	4492	4552	2892	2952
Box_350	4492	4552	2952	3012
Box_351	4492	4552	3012	3072
Box_352	4492	4552	3072	3133
Box_353	4492	4552	3132	3193
Box_354	4492	4552	3193	3253
Box_355	4492	4552	3253	3313
Box_356	4492	4552	3313	3373
Box_357	4492	4552	3374	3434
Box_358	4492	4552	3434	3494
Box_359	4492	4551	3494	3554
Box_360	4553	4612	2350	2410
Box_361	4553	4612	2411	2470
Box_362	4553	4612	2471	2531
Box_363	4553	4612	2531	2591
Box_364	4553	4612	2591	2651
Box_365	4553	4612	2651	2711
Box_366	4552	4612	2711	2771
Box_367	4552	4612	2771	2832
Box_368	4552	4612	2832	2892
Box_369	4552	4612	2892	2952
Box_370	4552	4612	2952	3012
Box_371	4552	4612	3012	3072
Box_372	4552	4612	3073	3133
Box_373	4552	4612	3133	3193
Box_374	4552	4612	3193	3253
Box_375	4552	4612	3253	3314
Box_376	4552	4611	3313	3374
Box_377	4552	4611	3374	3434
Box_378	4552	4611	3434	3495
Box_379	4552	4611	3494	3554
Box_380	4613	4672	2351	2410
Box_381	4613	4672	2411	2471
Box_382	4613	4672	2471	2531
Box_383	4613	4672	2531	2591
Box_384	4612	4672	2591	2651
Box_385	4612	4672	2651	2711
Box_386	4612	4672	2711	2771
Box_387	4612	4672	2772	2832
Box_388	4612	4672	2832	2892
Box_389	4612	4672	2892	2952
Box_390	4612	4672	2952	3012
Box_391	4612	4672	3012	3072
Box_392	4612	4671	3073	3133
Box_393	4612	4672	3133	3193
Box_394	4611	4672	3194	3253
Box_395	4611	4672	3254	3314
Box_396	4612	4671	3313	3375
Box_397	4612	4671	3374	3434
Box_398	4612	4672	3435	3494
Box_399	4612	4670	3495	3556
